id	title	description	google product category	link	image link	condition	availability	price	gtin	brand	mpn	identifier_exists	additional_image_link
18	ウォータークルーフ・アストライオス・シャルドネ・MCC/750ml/スパークリングワイン（白）	"フレッシュで豊かな酸味、程よいボディ。泡は綺麗でキメ細やか。リッチで複雑な面もある。フィニッシュはドライで爽やか。全体には心地良い爽やかなワインで上品なスタイル。<br>
<br>
<strong>Waterkloof Astraeus Chardon Reserve Brut（ウォータークルーフ・アストライオス・シャルドネ・MCC）とは</strong><br>
<br>
涼地区エルギンよりオーガニックブドウを購入。土壌はテーブルマウンテン砂岩。この土は、ワインにミネラル分を与える。ブドウは全房でバスケット・プレス。600Lの古樽で天然発酵。その後、澱が入ったまま9ヶ月熟成。その後、瓶内で2次発酵後2年熟成。デゴルジュマン（澱引き）後、更に6ヶ月熟成して出荷。<br>
ワインに複雑味を加えるために、2009ヴィンテージのシャルドネMCCを15％混ぜている。<br>
フレッシュで豊かな酸味、程よいボディ。泡は綺麗でキメ細やか。リッチで複雑な面もある。フィニッシュはドライで爽やか。全体には心地良い爽やかなワインで上品なスタイル。<br>
<br>
<strong>Waterkloof（ウォータークルーフ）　ビオディナミ、環境循環型農業 ""Honest Wine""「誠実なワイン」</strong><br>
<br>
自分達のワインを「Ｈｏｎｅｓｔ　Ｗｉｎｅ」（誠実なワイン）、つまり、テロワールを誠実（正直）に表現したワインと呼んでいる。ワイン醸造に関しては、不干渉主義のアプローチ。 今では、ステレンボシュを代表するビオディナミ ワイン生産者に成長した。<br>
<br>
<strong>商品詳細</strong>
<dl>
	<dt>ワイナリー</dt>
	<dd>Waterkloof（ウォータークルーフ）</dd>
	<dt>原産国</dt>
	<dd>南アフリカ／エルギン</dd>
	<dt>タイプ</dt>
	<dd>スパークリングワイン＞ 白</dd>
	<dt>主要品種</dt>
	<dd>シャルドネ</dd>
	<dt>アルコール度数</dt>
	<dd>12.0％未満</dd>
	<dt>容量</dt>
	<dd>750ml</dd>
	<dt>ヴィンテージ</dt>
	<dd>NV</dd>
	<dt>特徴</dt>
	<dd>オーガニック</dd>
	<dt>受賞／評価</dt>
	<dd>[Platter SA 2018’] 4.5 STAR</dd>
</dl>

<strong>キーワード</strong><br>
<br>
スパークリングワイン　白　シャルドネ　エルギン　Waterkloof　ウォータークルーフ
"	食品・飲料 > 飲料 > アルコール飲料 > ワイン	https://s-africa.wine/products/detail/18	https://s-africa.wine/html/upload/save_image/1007175147_5f7d81a390f69.jpg	new	in_stock	4675 JPY		CAPEWINE		no	https://s-africa.wine/html/upload/save_image/1007175147_5f7d81a3c0e08.jpg
19	ウォータークルーフ・アストライオス・ピノノワール・MCC/750ml/スパークリングワイン（ロゼ）	"チェリー、花、ハーブ、スパイス、焼きリンゴなどの香り。フレッシュで豊かな酸味、優しいボディで、泡は綺麗でキメ細やか。心地良い爽やかなワインで上品なスタイル。<br>
<br>
<strong>Waterkloof Astraeus Pinot Noir MCC（ウォータークルーフ・アストライオス・ピノノワール・MCC）とは</strong><br>
<br>
冷涼地区エルギンよりオーガニックブドウを購入。土壌はテーブルマウンテン砂岩。この土は、ワインにミネラル分を与える。ブドウは全房でバスケット・プレス。600Lの古樽で天然発酵。その後、澱が入ったまま9ヶ月熟成。その後、瓶内で2次発酵後11ヶ月熟成。デゴルジュマン（澱引き）後、更に7ヶ月熟成して出荷。<br>
料理：前菜、和食、寿司、サーモン、シーフード、アジア系料理など。<br>
チェリー、花、ハーブ、スパイス、焼きリンゴなどの香り。フレッシュで豊かな酸味、優しいボディで、泡は綺麗でキメ細やか。心地良い爽やかなワインで上品なスタイル。<br>
<br>
<strong>Waterkloof（ウォータークルーフ）　ビオディナミ、環境循環型農業 ""Honest Wine""「誠実なワイン」</strong><br>
<br>
自分達のワインを「Ｈｏｎｅｓｔ　Ｗｉｎｅ」（誠実なワイン）、つまり、テロワールを誠実（正直）に表現したワインと呼んでいる。ワイン醸造に関しては、不干渉主義のアプローチ。 今では、ステレンボシュを代表するビオディナミ ワイン生産者に成長した。<br>
<br>
<strong>商品詳細</strong>
<dl>
	<dt>ワイナリー</dt>
	<dd>Waterkloof（ウォータークルーフ）</dd>
	<dt>原産国</dt>
	<dd>南アフリカ／エルギン</dd>
	<dt>タイプ</dt>
	<dd>スパークリングワイン＞ ロゼ</dd>
	<dt>主要品種</dt>
	<dd>ピノノワール</dd>
	<dt>アルコール度数</dt>
	<dd>12.5％未満</dd>
	<dt>容量</dt>
	<dd>750ml</dd>
	<dt>ヴィンテージ</dt>
	<dd>NV</dd>
	<dt>特徴</dt>
	<dd>オーガニック</dd>
	<dt>受賞／評価</dt>
	<dd>[Platter SA 2018’] 4.5 STAR</dd>
</dl>

<strong>キーワード</strong><br>
<br>
スパークリングワイン　ロゼ　ピノノワール　エルギン　Waterkloof　ウォータークルーフ
"	食品・飲料 > 飲料 > アルコール飲料 > ワイン	https://s-africa.wine/products/detail/19	https://s-africa.wine/html/upload/save_image/1007175222_5f7d81c6b1767.jpg	new	in_stock	4675 JPY		CAPEWINE		no	https://s-africa.wine/html/upload/save_image/1007175222_5f7d81c6e1028.jpg
51	クローヌ・ボレアリス・ブリュット/750ml/スパークリングワイン（白）	"ビスケットや桃のような香りを持ち、上品でクリーミーな口あたり。フィニッシュは爽やか。持続性のある綺麗で柔らかな泡。 酸化防止剤無添加なので健康志向な方にオススメです。<br>
<br>
<strong>Krone Borealis Brut（クローヌ・ボレアリス・ブリュット）とは</strong><br>
<br>
生産量84,000本。涼しい夜間と早朝に手摘みする。フリーラン・ジュース（1トンあたりで約500リットル）のみを使用。ステンレスタンクで低温発酵。その後マロラクティック発酵（ＭＬＦ）。瓶詰め後、地下セラーで瓶内2次発酵（約3ヶ月）。そのまま熟成。手動による動瓶（ルミュアージュ）。<br>
ビスケットや桃のような香りを持ち、上品でクリーミーな口あたり。フィニッシュは爽やか。持続性のある綺麗で柔らかな泡。シャンパーニュと間違うような香りと品質は泡ファンに是非飲んでもらいたい。<br>
シャンパーニュ・ファンにも満足できるリーズナブルな本格派スパークリング。<br>
<br>
<strong>Krone（クローヌ）　南アフリカワイン業界のパイオニア</strong><br>
<br>
ワイナリー、クローヌ（トウェー・ヤンガ・ゲゼレン）は、この地区にあり、家族経営としてはこの地区で最も古く、南アフリカ全体でも2番目に古いという伝統的な家族クローヌ家が運営している。トウェー・ヤンガ・ゲゼレンとは難しい名前だが、「二人の若い独身男達」という意味で二人の若者によって始まった。<br>
<br>
<strong>商品詳細</strong>
<dl>
	<dt>ワイナリー</dt>
	<dd>Krone（クローヌ）</dd>
	<dt>原産国</dt>
	<dd>南アフリカ／ウェスタンケープ</dd>
	<dt>タイプ</dt>
	<dd>スパークリングワイン＞ 白</dd>
	<dt>主要品種</dt>
	<dd>シャルドネ,ピノノワール (72％,28％)</dd>
	<dt>アルコール度数</dt>
	<dd>12％未満</dd>
	<dt>容量</dt>
	<dd>750ml</dd>
	<dt>ヴィンテージ</dt>
	<dd>2018</dd>
	<dt>受賞／評価</dt>
	<dd>[Tim Atkin Report 2018’] 2017VT：89 Point<br>
	[Sakura Awards 2017’] 2015VT：Gold<br>
	1995年、2004年の南アフリカ・ダイナーズクラブ最優秀ワイン醸造家に選ばれる。2000年、2001年にエアー・フランス・クラシック・トロフィ大会のスパークリング部門（シャンパーニュ製法）で金賞。「憎らしいほど極めてオリジナルのシャンパーニュに近い」と評される。</dd>
</dl>

<strong>キーワード</strong><br>
<br>
スパークリングワイン　白　シャルドネ　ピノノワール　ウェスタンケープ　Krone　クローヌ
"	食品・飲料 > 飲料 > アルコール飲料 > ワイン	https://s-africa.wine/products/detail/51	https://s-africa.wine/html/upload/save_image/1008132800_5f7e955010cbe.jpg	new	in_stock	3245 JPY		CAPEWINE		no	"https://s-africa.wine/html/upload/save_image/1008132800_5f7e955041ba2.jpg,https://s-africa.wine/html/upload/save_image/1008132800_5f7e955069c00.jpg"
52	クローヌ・ロゼ・キュベ・ブリュット/750ml/スパークリングワイン（ロゼ）	"持続性のある綺麗で柔らかな泡。シャンパーニュと間違うような香りと品質は泡ファンに是非飲んでもらいたいスパークリングです。 酸化防止剤無添加なので健康志向な方にオススメです。<br>
<br>
<strong>Krone Rose Cuvee Brut（クローヌ・ロゼ・キュベ・ブリュット）とは</strong><br>
<br>
ナチュラルな淡いサーモンピンク色。細かで持続的な泡。フレッシュ＆爽やかな赤りんごやベリー系の豊かな香り。繊細で華やか、ややクリーミーでエレガントなスパークリング。 雑誌Dressに掲載されました。 <br>
<br>
<strong>Krone（クローヌ）　南アフリカワイン業界のパイオニア</strong><br>
<br>
ワイナリー、クローヌ（トウェー・ヤンガ・ゲゼレン）は、この地区にあり、家族経営としてはこの地区で最も古く、南アフリカ全体でも2番目に古いという伝統的な家族クローヌ家が運営している。トウェー・ヤンガ・ゲゼレンとは難しい名前だが、「二人の若い独身男達」という意味で二人の若者によって始まった。<br>
<br>
<strong>商品詳細</strong>
<dl>
	<dt>ワイナリー</dt>
	<dd>Krone（クローヌ）</dd>
	<dt>原産国</dt>
	<dd>南アフリカ／ウェスタンケープ</dd>
	<dt>タイプ</dt>
	<dd>スパークリングワイン＞ ロゼ</dd>
	<dt>主要品種</dt>
	<dd>ピノノワール,シャルドネ (74％,26％)</dd>
	<dt>アルコール度数</dt>
	<dd>15％未満</dd>
	<dt>容量</dt>
	<dd>750ml</dd>
	<dt>ヴィンテージ</dt>
	<dd>2018</dd>
	<dt>受賞／評価</dt>
	<dd>[Tim Atkin Report 2019’] 2017VT：89 Point<br>
	2015プラッター（南ア）4星。2006年9月&12月で「ロゼ・スパークリングでは南アフリカでもベスト＆ワールドクラスに匹敵する」と高い評価を得る。ワインメーカーのニッキーは1995年、2004年に南アフリカ・ダイナーズクラブ最優秀ワイン醸造家に選ばれる。白のスパークリング（クローヌ・ボレアリス・ブリュット）は2000年、2001年にエアー・フランス・クラシック・トロフィ大会のスパークリング部門（シャンパーニュ製法）で金賞。「憎らしいほど極めてオリジナルのシャンパーニュに近い」と評される。</dd>
</dl>

<strong>キーワード</strong><br>
<br>
スパークリングワイン　ロゼ　ピノノワール　シャルドネ　ウェスタンケープ　Krone　クローヌ
"	食品・飲料 > 飲料 > アルコール飲料 > ワイン	https://s-africa.wine/products/detail/52	https://s-africa.wine/html/upload/save_image/1008132831_5f7e956f0e279.png	new	in_stock	4510 JPY		CAPEWINE		no	"https://s-africa.wine/html/upload/save_image/1008132831_5f7e956f429e8.png,https://s-africa.wine/html/upload/save_image/1008132831_5f7e956f7569a.png"
53	クローヌ・ＭＣＣ・カイマンスハット・ブランドブラン/750ml/スパークリングワイン（白）	"柑橘類の花や皮、リンゴ、レモンなど、爽やかな香り。スッキリとした爽やかで綺麗な酸、持続的で細やかな心地良いスムーズな泡。程よい厚みとボディ、ドライでシャープなフィニッシュ。僅かにトーストした香りも感じることが出来る。<br>
<br>
<strong>Krone MCC Kaaimansgat Blanc de Blancs（クローヌ・ＭＣＣ・カイマンスハット・ブランドブラン）とは</strong><br>
<br>
2016年は暑く、乾燥した年だった。しかし、幸いにもカイマンスハットの畑は、オーバーバーグの冷涼地域、エランズクルーフ地区の冬は雪に覆われるような標高700mの高地冷涼な所で、あまり影響を受けなかった。ここは、普段は昼が暑くても夜は冷え、ブドウがゆっくり育つので、酸のしっかりした完熟ブドウで、pHの低い、MCCにパーフェクトなブドウが育つ。<br>
2016年はブドウは2015年より小さく、上質であった。シャルドネは2/19の夜間に収穫し、最高のブドウを収穫できた。<br>
シャルドネは樹齢31年。灌漑なし。全房でプレスし、フリーランジュース（500L/トン）のみ使用。天然発酵で6ヶ月。発酵樽は2500Ｌの大樽。瓶内2次発酵は、地下室の冷涼な貯蔵庫で3年熟成後デゴルジュマン。その際２ｇ/Ｌのドサージュ以外何も入れない。<br>
柑橘類の花や皮、リンゴ、レモンなど、爽やかな香り。スッキリとした爽やかで綺麗な酸、持続的で細やかな心地良いスムーズな泡。程よい厚みとボディ、ドライでシャープなフィニッシュ。僅かにトーストした香りも感じることが出来る。冷涼な地域を感じさせる豊かな酸のフレッシュさ、ドライで洗練された上品な泡は、今飲んで美味しく、10年以上熟成するものと思われる。<br>
シーフード、スモークサーモン、ホタテ、牡蠣、生ハム、天ぷら他様々な料理に幅広く合いやすい。 <br>
<br>
<strong>Krone（クローヌ）　南アフリカワイン業界のパイオニア</strong><br>
<br>
ワイナリー、クローヌ（トウェー・ヤンガ・ゲゼレン）は、この地区にあり、家族経営としてはこの地区で最も古く、南アフリカ全体でも2番目に古いという伝統的な家族クローヌ家が運営している。トウェー・ヤンガ・ゲゼレンとは難しい名前だが、「二人の若い独身男達」という意味で二人の若者によって始まった。<br>
<br>
<strong>商品詳細</strong>
<dl>
	<dt>ワイナリー</dt>
	<dd>Krone（クローヌ）</dd>
	<dt>原産国</dt>
	<dd>南アフリカ／トゥルバッハ</dd>
	<dt>タイプ</dt>
	<dd>スパークリングワイン＞ 白</dd>
	<dt>主要品種</dt>
	<dd>シャルドネ 100％</dd>
	<dt>アルコール度数</dt>
	<dd>11％未満</dd>
	<dt>容量</dt>
	<dd>750ml</dd>
	<dt>ヴィンテージ</dt>
	<dd>2016</dd>
	<dt>受賞／評価</dt>
	<dd>[Tim Atkin Report 2019’] 2016VT：89 Point</dd>
</dl>

<strong>キーワード</strong><br>
<br>
スパークリングワイン　白　シャルドネ　トゥルバッハ　Krone　クローヌ
"	食品・飲料 > 飲料 > アルコール飲料 > ワイン	https://s-africa.wine/products/detail/53	https://s-africa.wine/html/upload/save_image/1008133129_5f7e962128f2a.jpg	new	in_stock	11000 JPY		CAPEWINE		no	https://s-africa.wine/html/upload/save_image/1008133129_5f7e962155019.jpg
149	ステラー・オーガニックス・ロゼ・スパークリング/750ml/スパークリングワイン（ロゼ）	"フレッシュ＆フルーティでクラシックなシャンパーニの風味。優しいスムーズな泡で飲みやすい。エレガントで赤い果実を思わせるフィニッシュ。<br>
<br>
<strong>Stellar Organics Rose Sparkling（ステラー・オーガニックス・ロゼ・スパークリング）とは</strong><br>
<br>
ステンレスタンクで発酵後、ブレンドし。柑橘類や酵母の香り。フレッシュ＆フルーティでクラシックなシャンパーニの風味。優しいスムーズな泡で飲みやすい。エレガントで赤い果実を思わせるフィニッシュ。<br>
カナペなどの前菜、ソフトチーズ、伊勢海老、スパイシーなアジア料理など。リーズナブルで美味しいオーガニックワインを探している人に特にお薦め。<br>
<br>
<strong>STELLAR（ステラー）　オーガニックだからと言って品質に妥協はない</strong><br>
<br>
「オーガニックだからと言って品質に妥協はない」<br>
そのポリシーのもと、オーガニックワイン生産者としても毎年数多くのメダルを受賞しているステラーオーガニック社。ステラー社はオーガニックワインの生産者（コントロール・ユニオン・サーティフィケーションズ：オランダの認証）でかつ、フェアトレードの認証を取得した世界初のワイナリー。<br>
<br>
<strong>商品詳細</strong>
<dl>
	<dt>ワイナリー</dt>
	<dd>STELLAR（ステラー）</dd>
	<dt>原産国</dt>
	<dd>南アフリカ／ウェスタンケープ</dd>
	<dt>タイプ</dt>
	<dd>スパークリングワイン＞ ロゼ</dd>
	<dt>主要品種</dt>
	<dd>シャルドネ,ピノノワール</dd>
	<dt>アルコール度数</dt>
	<dd>11.0％未満</dd>
	<dt>容量</dt>
	<dd>750ml</dd>
	<dt>ヴィンテージ</dt>
	<dd>2020</dd>
	<dt>受賞／評価</dt>
	<dd>オーガニック、フェアトレード</dd>
</dl>

<strong>キーワード</strong><br>
<br>
スパークリングワイン　ロゼワイン　シャルドネ　ピノノワール　ウェスタンケープ　STELLAR　ステラー　オーガニック　フェアトレード"	食品・飲料 > 飲料 > アルコール飲料 > ワイン	https://s-africa.wine/products/detail/149	https://s-africa.wine/html/upload/save_image/0829231554_612b969a9f46d.png	new	in_stock	2530 JPY		CAPEWINE		no	"https://s-africa.wine/html/upload/save_image/1030170203_5f9bc87b296ed.jpg,https://s-africa.wine/html/upload/save_image/1030170203_5f9bc87b57e21.jpg"
147	ステラー・オーガニックス・スパークリング/750ml/スパークリングワイン（白）	"「オーガニックだからと言って品質に妥協はない」グレープフルーツやライムの香り。フレッシュで爽やか、優しい酸味と柔らかい泡が心地良く飲みやすいスパークリング。程良くしっかりしたボディ。<br>
<br>
<strong>Stellar Organics Sparkling（ステラー・オーガニックス・スパークリング）とは</strong><br>
<br>
ステンレスタンクで発酵後、ブレンドし。柑橘類や酵母の香り。フレッシュ＆フルーティでクラシックなシャンパーニの風味。優しいスムーズな泡で飲みやすい。エレガントで赤い果実を思わせるフィニッシュ。<br>
カナペなどの前菜、ソフトチーズ、伊勢海老、スパイシーなアジア料理など。リーズナブルで美味しいオーガニックワインを探している人に特にお薦め。<br>
<br>
<strong>STELLAR（ステラー）　オーガニックだからと言って品質に妥協はない</strong><br>
<br>
「オーガニックだからと言って品質に妥協はない」<br>
そのポリシーのもと、オーガニックワイン生産者としても毎年数多くのメダルを受賞しているステラーオーガニック社。ステラー社はオーガニックワインの生産者（コントロール・ユニオン・サーティフィケーションズ：オランダの認証）でかつ、フェアトレードの認証を取得した世界初のワイナリー。<br>
<br>
<strong>商品詳細</strong>
<dl>
	<dt>ワイナリー</dt>
	<dd>STELLAR（ステラー）</dd>
	<dt>原産国</dt>
	<dd>南アフリカ／ウェスタンケープ</dd>
	<dt>タイプ</dt>
	<dd>スパークリングワイン＞ 白</dd>
	<dt>主要品種</dt>
	<dd>シュナンブラン 100％</dd>
	<dt>アルコール度数</dt>
	<dd>12.0％未満</dd>
	<dt>容量</dt>
	<dd>750ml</dd>
	<dt>ヴィンテージ</dt>
	<dd>2019</dd>
	<dt>受賞／評価</dt>
	<dd>オーガニック、フェアトレード</dd>
</dl>

<strong>キーワード</strong><br>
<br>
スパークリングワイン　白ワイン　シュナンブラン　ウェスタンケープ　STELLAR　ステラー　オーガニック　フェアトレード"	食品・飲料 > 飲料 > アルコール飲料 > ワイン	https://s-africa.wine/products/detail/147	https://s-africa.wine/html/upload/save_image/1030170047_5f9bc82f6a9a0.jpg	new	in_stock	2090 JPY		CAPEWINE		no	https://s-africa.wine/html/upload/save_image/1030170047_5f9bc82f97df6.jpg
178	ステレンラスト・シュナンブラン・スパークリング/750ml/スパークリングワイン（白）	"青リンゴ、ライム、柑橘類など、フレッシュな果実の香り。爽やかで優しい酸味、フルーティで柔らかな泡。ふくよかで、ほんのりリッチ、ライムや柑橘類などの風味も豊かで心地良いワイン。<br>
<br>
<strong>Stellenrust Chenin Blanc Sparkling Brut（ステレンラスト・シュナンブラン・スパークリング）とは</strong><br>
<br>
ボタラリー・ヒルズの風化した花崗岩質の畑で15-32年のブッシュヴァイン・シュナンブランと、同じボタラリー・ヒルズの花崗岩質のマスカット・オブ・アレキサンドリアのブッシュヴァインのブドウを使用。<br>
朝早くに収穫。ブドウは全房で優しくプレス。ステンレスタンクで発酵し、3ヶ月熟成。シャルマ方式でタンク内二次発酵。ボトリング前にマスカット・オブ・アレキサンドリアをブレンド。青リンゴ、ライム、柑橘類など、フレッシュな果実の香り。爽やかで優しい酸味、フルーティで柔らかな泡。ふくよかで、ほんのりリッチ、ライムや柑橘類などの風味も豊かで心地良いワイン。<br>
南アフリカを代表するシュナンブランの生産者、ステレンラスト社のグッドバリューなスパークリング。<br>
生カキ、シーフード、スパイス料理、サラダ、パスタなど。 <br>
<br>
<strong>Stellenrust（ステレンラスト）　2012年ロンドン・オリンピックに採用されたワイナリー</strong><br>
<br>
南アフリカ・ステレンボシュ地区の名門。<br>
家族経営のワイナリーとしては、ブドウ畑だけで500haを所有し、ステレンボシュの中でも大きい方に入る。畑は2箇所あり、ヘルダーバーグとボタラリーの両地区にある。両方とも、ステレンボシュの中でも良質のブドウの取れる良い場所にある。<br>
白は特にシュナンブラン、赤はピノタージュ、シラーズとボルドー系品種が得意。<br>
<br>
<strong>商品詳細</strong>
<dl>
	<dt>ワイナリー</dt>
	<dd>Stellenrust（ステレンラスト）</dd>
	<dt>原産国</dt>
	<dd>南アフリカ／ステレンボッシュ</dd>
	<dt>タイプ</dt>
	<dd>スパークリングワイン＞ 白</dd>
	<dt>主要品種</dt>
	<dd>シュナンブラン,マスカット・オブ・アレキサンドリア</dd>
	<dt>アルコール度数</dt>
	<dd>11.5％未満</dd>
	<dt>容量</dt>
	<dd>750ml</dd>
	<dt>ヴィンテージ</dt>
	<dd>NV</dd>
	<dt>受賞／評価</dt>
	<dd>シャルマ方式</dd>
</dl>

<strong>キーワード</strong><br>
<br>
スパークリングワイン　白　シュナンブラン　マスカット・オブ・アレキサンドリア　ステレンボッシュ　Stellenrust　ステレンラスト
"	食品・飲料 > 飲料 > アルコール飲料 > ワイン	https://s-africa.wine/products/detail/178	https://s-africa.wine/html/upload/save_image/1119135333_5fb5fa4d23f40.jpg	new	in_stock	2530 JPY		CAPEWINE		no	"https://s-africa.wine/html/upload/save_image/1119135332_5fb5fa4cc2e4f.jpg, https://s-africa.wine/html/upload/save_image/1119135332_5fb5fa4ceefd3.jpg"
6	ステレンラスト・ＭＣＣ・ロゼ・スパークリング/750ml/スパークリングワイン（ロゼ）	"2015世界スパークリングワイン・チャレンジ（英国）でドンペリニョン2005、クリスタル2006などを制し1位。2012年ロンドンオリンピックに採用されたワイナリー「ステレンラスト」のスパークリングワイン。<br>
<br>
<strong>Stellenrust Sparkling（ステレンラスト・ＭＣＣ・ロゼ・スパークリング）とは</strong><br>
<br>
クレマン・ド・ロワールのスタイルで、ロワール品種を使用した瓶内２次発酵。シュナンブランは樹齢32年のブッシュヴァイン（株仕立て。ボタラリー地区）、シャルドネは10年（ボタラリー地区）、カベルネフランは16年の樹齢（ヘルダーバーグ地区）。シュナンブランはステンレスタンクで天然発酵後、澱が入ったまま7ヶ月熟成。シャルドネとカベルネフランは3＆4年目のフレンチオークで天然発酵後、7ヶ月熟成し、ブレンド。瓶内２次発酵後は、澱引き（おりびき：デゴルジュマン）前に18カ月熟成。 打栓後、更に３ヶ月してから出荷。<br>
リンゴ、レモン、桃、チェリー、レッドベリーなどの香り。爽やかなスッキリした酸味、キメ細かく、綺麗でスムーズな泡が長く続く上品なスパークリング。薄い綺麗なピンク色。<br>
受賞・評価：2015世界スパークリングワイン・チャレンジ（英国）でドンペリニョン2005、クリスタル2006などを制し1位。（出典：http://www.topwinesa.com/?p=4419） <br>
<br>
<strong>Stellenrust（ステレンラスト）　2012年ロンドン・オリンピックに採用されたワイナリー</strong><br>
<br>
南アフリカ・ステレンボシュ地区の名門。<br>
家族経営のワイナリーとしては、ブドウ畑だけで500haを所有し、ステレンボシュの中でも大きい方に入る。畑は2箇所あり、ヘルダーバーグとボタラリーの両地区にある。両方とも、ステレンボシュの中でも良質のブドウの取れる良い場所にある。<br>
白は特にシュナンブラン、赤はピノタージュ、シラーズとボルドー系品種が得意。<br>
<br>
<strong>商品詳細</strong>
<dl>
	<dt>ワイナリー</dt>
	<dd>Stellenrust（ステレンラスト）</dd>
	<dt>原産国</dt>
	<dd>南アフリカ／ステレンボッシュ</dd>
	<dt>タイプ</dt>
	<dd>スパークリングワイン＞ ロゼ</dd>
	<dt>主要品種</dt>
	<dd>カベルネフラン,シャルドネ,シュナンブラン(62%,19%,19%)</dd>
	<dt>アルコール度数</dt>
	<dd>12％未満</dd>
	<dt>容量</dt>
	<dd>750ml</dd>
	<dt>ヴィンテージ</dt>
	<dd>NV</dd>
	<dt>受賞／評価</dt>
	<dd>2015年世界スパークリングワインチャレンジで第１位<br>
	サクラアワード2016 シルバー受賞<br>
	2012年ロンドン・オリンピックに採用されたワイナリー</dd>
</dl>

<strong>キーワード</strong><br>
<br>
スパークリングワイン　ロゼ　カベルネフラン　シャルドネ　シュナンブラン　ステレンボッシュ　Stellenrust　ステレンラスト
"	食品・飲料 > 飲料 > アルコール飲料 > ワイン	https://s-africa.wine/products/detail/6	https://s-africa.wine/html/upload/save_image/0829231527_612b967f3cfce.png	new	in_stock	3190 JPY		CAPEWINE		no	"https://s-africa.wine/html/upload/save_image/0926154547_5f6ee39b8bcb0.jpg,https://s-africa.wine/html/upload/save_image/0926154547_5f6ee39bb643d.jpg,https://s-africa.wine/html/upload/save_image/0926154547_5f6ee39b5ab00.jpg"
11	アリステア・ＭＣＣ・ブラン/スパークリングワイン（白）	"「まるで若いクリュッグのよう！」と評された泡。細やかで上品、優しいムースのような美しい泡が長く続き、かつ複雑で深みもある。しっかりしたボディとクラシックでエレガントなスタイル。<br>
<br>
<strong>Aristea MCC Blanc（アリステア・ＭＣＣ・ブラン）とは</strong><br>
<br>
早朝の涼しい時間に収穫。ゆっくりと優しく全房でプレス。一番搾りとベストなジュースのみ使用。発酵後、マロラクティック発酵を経て、ベースとなるワインが完成。一部のシャルドネは樽で熟成。全てのワインをブレンドして瓶詰し、2次発酵。瓶内で最低3年熟成。生産量4200本。<br>
フレッシュな柑橘類、リンゴ、イースト香、ビスケットなどの香り。活き活きとした豊かな酸味は最初から最後まで続く。細やかで上品、優しいムースのような美しい泡が長く続き、かつ複雑で深みもある。しっかりしたボディとクラシックでエレガントなスタイル。南アフリカのMCC（瓶内二次発酵）スパークリングとしては素晴らしい1本。<br>
マシュー曰く、デカンター誌のライターに「まるで若いクリュッグのよう」と評されたと。<br>
生ハム、カルパッチョなどの前菜に、また、シーフード、レモンソース、クリームソースなどのメイン料理に、イチゴと一緒にデザートに多彩に対応できる。 <br>
<br>
<strong>Aristea（アリステア）　MCCの申し子が手がけたワイン</strong><br>
<br>
南アフリカのMCCの申し子でクローヌ家の息子、マシューにイギリス人の資本家、マーティンとフランス人ワインコンサルタントのフロランが協力して作ったワインブランド。<br>
マシューは、各品種ごとに西ケープ州のベストな畑、ベストなブロック、ベストなウネのブドウをリサーチし、個別に契約してブドウを購入。<br>
<br>
<strong>商品詳細</strong>
<dl>
	<dt>ワイナリー</dt>
	<dd>Aristea（アリステア）</dd>
	<dt>原産国</dt>
	<dd>南アフリカ／ウェスタンケープ</dd>
	<dt>タイプ</dt>
	<dd>スパークリングワイン＞ 白</dd>
	<dt>主要品種</dt>
	<dd>シャルドネ,ピノノワール 100%</dd>
	<dt>アルコール度数</dt>
	<dd>12％未満</dd>
	<dt>容量</dt>
	<dd>750ml</dd>
	<dt>ヴィンテージ</dt>
	<dd>2015</dd>
	<dt>受賞／評価</dt>
	<dd>[Tim Atkin Report 2018’] 2015VT：89 Point</dd>
</dl>

<strong>キーワード</strong><br>
<br>
スパークリングワイン　白　シャルドネ　ピノノワール　ウェスタンケープ　Aristea　アリステア
"	食品・飲料 > 飲料 > アルコール飲料 > ワイン	https://s-africa.wine/products/detail/11	https://s-africa.wine/html/upload/save_image/1007173254_5f7d7d36903e2.jpg	new	in_stock	4730 JPY		CAPEWINE		no	https://s-africa.wine/html/upload/save_image/1007173254_5f7d7d36c01c3.jpg
